ds,yhat,yhat_lower,yhat_upper
2017-09-01,1423778.0524711213,1385371.2613812808,1465999.2419003975
2017-10-01,981102.5904115939,938474.4160454825,1020327.4349305173
2017-11-01,996915.5439774481,961636.5420782043,1038236.8990070879
2017-12-01,1163676.683985829,1121998.648709466,1201870.8337522633
2018-01-01,1173078.1576505566,1135536.7083444954,1213300.0667970928
2018-02-01,1156201.3197638162,1118967.2603394908,1193280.8343288188
2018-03-01,1010615.2777507433,972113.4737178046,1050736.7966937232
2018-04-01,1028805.7114773525,992844.8916422856,1070798.9120271027
2018-05-01,1017347.2430176281,980263.2222659797,1061340.3854926217
2018-06-01,1450599.7218481773,1411906.6102660107,1487707.0530143853
2018-07-01,1460132.591354386,1419840.9788952502,1497465.0801786755
2018-08-01,1483616.8984238838,1446504.0283913703,1520519.8893385788
2018-09-01,1475955.3674890883,1436088.9041772352,1514203.6452993413
2018-10-01,1043624.0005012339,1005460.0988171904,1084880.8723124634
2018-11-01,1063080.6234025173,1025561.7528876228,1102676.6833993793
2018-12-01,1227052.700641106,1186922.9332132274,1263097.4960156574
2019-01-01,1234047.6666799185,1193261.5735090226,1271733.168276259
2019-02-01,1210774.9701781282,1171022.208149607,1249951.7888305222
2019-03-01,1075550.557728583,1034639.8185009692,1112069.3065551736
2019-04-01,1090257.3206864428,1050559.0233280899,1128636.639157278
2019-05-01,1081742.5818387503,1043306.4159228682,1120407.775433343
2019-06-01,1505353.7425738745,1465930.8966369762,1545029.4208488395
2019-07-01,1519379.8402726431,1480452.729600901,1559092.4608110923
2019-08-01,1553999.7365774133,1514808.6426149104,1592125.4355387997
2019-09-01,1527742.1234039401,1488260.178411442,1566973.5699963013
2019-10-01,1106168.0085052534,1066512.8159335055,1144776.5241568207
2019-11-01,1129037.0450456773,1087645.0618443761,1169110.289103399
2019-12-01,1289941.1154360683,1250900.826765781,1331067.274325027
2020-01-01,1294457.3203384494,1255785.881582728,1334064.3712306758
2020-02-01,1264900.6673737287,1223788.0784674482,1303634.5563751995
2020-03-01,1125529.8903816473,1087548.509530673,1164688.4538597325
2020-04-01,1150261.984338342,1113120.4061063442,1191653.928262175
2020-05-01,1132705.5793390279,1096653.2589905958,1171363.1138515295
2020-06-01,1584732.379755571,1544742.5959965407,1623535.6462687026
2020-07-01,1585980.2491629585,1545869.9458293226,1624602.666569406
2020-08-01,1586357.5762680597,1546470.906193742,1623945.0871133527
2020-09-01,1615569.0208607425,1577007.9769669485,1656218.3025632694
2020-10-01,1162971.4436001545,1121661.6857213692,1202987.8528159056
2020-11-01,1174919.3565468127,1135062.302039799,1214649.7794370747
2020-12-01,1344187.7522009695,1302680.3892198878,1383124.6953738052
2021-01-01,1355916.774788309,1314783.8253546625,1392590.7813025026
2021-02-01,1345574.1867129786,1303487.2444511792,1384592.1924726563
2021-03-01,1189763.1406942343,1149600.608858937,1231588.2116052504
2021-04-01,1211292.3875137966,1173263.9974687593,1252608.9654141853
2021-05-01,1196816.263066434,1158001.8736980024,1235109.7252246165
2021-06-01,1639540.6986152113,1599750.3794811843,1679671.8241723736
2021-07-01,1644804.8366282939,1607701.2157361114,1685350.8929705904
2021-08-01,1656863.302915405,1620344.1691845173,1698430.1161359088
2021-09-01,1667688.7717704312,1630629.684340069,1709321.190616571
2021-10-01,1225004.8141941878,1184487.3549777966,1258324.441272061
2021-11-01,1240808.9890593952,1196720.5626005833,1280503.524651514
2021-12-01,1407561.6337555242,1369435.6030082344,1448743.9225637228
2022-01-01,1416954.3289308487,1372388.5863717564,1455561.3651356485
2022-02-01,1400068.7126048272,1361291.6074998179,1439328.246998559
2022-03-01,1254474.7416789182,1212988.1493029187,1293913.5908544853
2022-04-01,1272656.3970779674,1234598.2417549891,1311320.3347701086
2022-05-01,1261189.4335501,1222221.6455647263,1301804.024909976
2022-06-01,1694433.1341438172,1655472.7837908245,1733648.0410305685
2022-07-01,1703957.5085819133,1664416.7037803424,1744071.737856007
2022-08-01,1727433.0374456132,1690175.601529225,1768603.6930799116
2022-09-01,1719762.7284918989,1681235.8043426096,1758411.331846933
2022-10-01,1287422.8666469045,1247897.7313813244,1327889.1574356381
2022-11-01,1306870.71152921,1268373.9006432411,1347030.4357292631
2022-12-01,1470834.3245480075,1432675.2146340145,1508606.2804340287
2023-01-01,1477820.5458679541,1438627.7914204367,1517471.317733148
2023-02-01,1454539.104647088,1417185.6855137157,1495585.5979834043
2023-03-01,1319329.2165868287,1277446.2710683416,1356161.9074361448
2023-04-01,1334052.0601183674,1295478.4036791385,1369360.2902911333
2023-05-01,1325552.883116179,1288208.5369030905,1365123.3155076543
2023-06-01,1749180.1244249728,1711128.8630750692,1786092.802382105
2023-07-01,1763238.923351942,1723822.929636407,1800602.9732432826
2023-08-01,1797892.610925782,1762208.0832546249,1834269.297346271
2023-09-01,1771668.7890215637,1732018.3532285204,1812222.668069005
2023-10-01,1350127.3753510523,1312715.9729027546,1390520.9850952008
2023-11-01,1373030.2032011475,1334529.5983816658,1415372.7000787563
2023-12-01,1533966.974859009,1494787.318362253,1572785.4879220973
2024-01-01,1538516.9710711094,1499460.5415011803,1580341.4910270758
2024-02-01,1508994.1094160923,1472232.153910533,1549204.5753066542
2024-03-01,1369654.9435460665,1329515.4256172748,1410255.2472778258
2024-04-01,1394420.8287022596,1354977.1043423135,1435438.9142377654
2024-05-01,1376897.1248637233,1336294.0257210247,1417560.3429168821
2024-06-01,1828957.7164798176,1786692.021559077,1869450.248554022
2024-07-01,1830238.2869346251,1790275.504607828,1867527.1905899313
2024-08-01,1830649.405122072,1788621.4977018277,1871897.5826852527
2024-09-01,1859894.6407973254,1824175.236896799,1901598.9417555605
2024-10-01,1407329.7586308576,1366439.7673922642,1443969.2308155259
2024-11-01,1419311.4565081738,1379458.7838595824,1457815.4539271356
2024-12-01,1588612.5472565286,1547994.3945320414,1626880.3579506178
2025-01-01,1600375.35477455,1559794.1747314688,1636585.9670525037
2025-02-01,1590032.7686824847,1553761.9614388898,1630330.3492538997
2025-03-01,1434221.7244550074,1392719.4988341625,1471389.5278488016
2025-04-01,1455750.9732577854,1415236.9405688848,1495080.8095354117
2025-05-01,1441274.8507296122,1402084.9328340944,1478618.629145341
2025-06-01,1883999.2882192465,1844033.2603259415,1924104.0780191028
2025-07-01,1889263.4281104351,1850320.8494473875,1928150.1196614509
2025-08-01,1901321.8963382188,1859304.1232789503,1939888.0073704785
2025-09-01,1912147.36713407,1874187.5652257374,1949967.714365678
2025-10-01,1469463.4114632555,1431492.965068132,1509237.2463093393
2025-11-01,1485267.5882973901,1442990.660509236,1524470.1773295184
2025-12-01,1652020.2348990222,1612851.6000201176,1690627.1117059402
